routename,distKM,time
Goa-Arzila,18493.03,162
Goa-Alcácer-Quibir,18541.28,162
Goa-Cochin,1619.51,17
Goa-Goa,0,3
Goa-Tidore,8424.01,75
Goa-Sohar,2338.57,23
Goa-Trincomalee,2813.46,27
Goa-Malaca,5071.24,47
Goa-São Tomé de Meliapor,3362.13,32
Goa-Negapatão,3560.62,34
Goa-Diu,859.65,10
Goa-Mascate,2048.66,21
Goa-Macau,7937.11,71
Goa-Amboíno,8311.2,74
Goa-Socotra,2758.03,27
Goa-Bombaim,433.11,7
Goa-Quiloa,5496.33,50
Goa-Porto,18916.45,166
Goa-Olinda,15589,137
Goa-São Jorge dos Ilhéus,15465.6,136
Goa-Natal - Capitania do Rio Grande,15429.75,136
Goa-Salvador,15350.87,135
Goa-Porto Seguro,15346.57,135
Goa-Rio de Janeiro,15102.64,133
Goa-Vila do Espírito Santo,15045.38,132
Calicute-Lisboa,18116.38,159
Calicute-Monte Pascoal - BA,14732.23,130
Calicute-Cananor,78.18,4
Calicute-Ilhas Canárias,16824.59,148
Calicute-Santiago - Cabo Verde,15654.87,138
Calicute-Baía de Santa Helena,8814.74,79
Calicute-Cabo da Boa esperança,8732.84,78
Calicute-Mossel Bay,9027.23,81
Calicute-Natal,7045.64,63
Calicute-Quelimane,6791.1,61
Calicute-Ilha de moçambique,5110.29,47
Calicute-Mombaça,4705.64,43
Calicute-Malindi,4809.3,44
Calicute-Goa,470.89,7
Calicute-Ceuta,18100.5,159
Calicute-Tanger,17897.28,157
Calicute-Arzila,17930.6,157
Calicute-Alcácer-Quibir,17978.85,158
Calicute-Cochin,175.26,4
Calicute-Goa,470.89,7
Calicute-Tidore,7124.99,64
Calicute-Sohar,2940.38,28
Calicute-Trincomalee,1514.43,16
Calicute-Malaca,3772.21,35
Calicute-São Tomé de Meliapor,2063.11,21
Calicute-Negapatão,430.96,7
Calicute-Diu,1716.3,18
Calicute-Mascate,2650.48,26
Calicute-Macau,6638.09,60
Calicute-Amboíno,7012.18,63
Calicute-Socotra,2762.13,27
Calicute-Bombaim,1319.01,14
Calicute-Quiloa,5218.61,48
Calicute-Porto,18354.03,161
Calicute-Olinda,15026.58,132
Calicute-São Jorge dos Ilhéus,14903.17,131
Calicute-Natal - Capitania do Rio Grande,14867.32,131
Calicute-Salvador,14788.45,130
Calicute-Porto Seguro,14784.15,130
Calicute-Rio de Janeiro,14540.21,128
Calicute-Vila do Espírito Santo,14482.96,127
Ceuta-Lisboa,726.73,9
Ceuta-Monte Pascoal - BA,7727.85,69
Ceuta-Cananor,18128.44,159
Ceuta-Ilhas Canárias,1535.44,16
Ceuta-Santiago - Cabo Verde,3150.07,30
Ceuta-Baía de Santa Helena,9769.21,87
Ceuta-Cabo da Boa esperança,9687.31,86
Ceuta-Mossel Bay,9981.69,89
Ceuta-Natal,11244.97,100
Ceuta-Quelimane,12601.83,111
Ceuta-Ilha de moçambique,13198.51,116
Ceuta-Mombaça,14504.25,128
Ceuta-Malindi,14607.91,129
Ceuta-Goa,18662.92,163
Ceuta-Calicute,18100.5,159
Ceuta-Tanger,213.61,5
Ceuta-Arzila,246.94,5
Ceuta-Alcácer-Quibir,295.19,5
Ceuta-Cochin,17997.21,158
Ceuta-Goa,18662.92,163
Ceuta-Tidore,21897.82,191
Ceuta-Sohar,18344.66,161
Ceuta-Trincomalee,18151.8,159
